,success,kernel,kernel_param,penalty_param,time,N,model_path,model_name,TP,TN,FP,FN
0,True,linear,,0.1,46.718963088,400,../models/linear_01_0.pkl,linear_01,53,16,7,24
1,True,linear,,0.1,43.16020576900001,400,../models/linear_01_1.pkl,linear_01,62,9,6,23
2,True,linear,,0.1,37.69446260299999,400,../models/linear_01_2.pkl,linear_01,59,14,5,22
3,True,linear,,0.1,39.278894036,400,../models/linear_01_3.pkl,linear_01,63,13,3,21
4,True,linear,,0.1,42.35850471200001,400,../models/linear_01_4.pkl,linear_01,63,18,8,11
5,True,linear,,10.0,154.58149508499997,400,../models/linear_10_0.pkl,linear_10,54,16,6,24
6,True,linear,,10.0,116.36971644700003,400,../models/linear_10_1.pkl,linear_10,61,10,7,22
7,True,linear,,10.0,140.158303053,400,../models/linear_10_2.pkl,linear_10,58,15,6,21
8,True,linear,,10.0,181.216670315,400,../models/linear_10_3.pkl,linear_10,62,15,4,19
9,True,linear,,10.0,143.898945659,400,../models/linear_10_4.pkl,linear_10,63,18,8,11
10,True,linear,,1000.0,827.6448570919999,400,../models/linear_001_0.pkl,linear_001,54,16,6,24
11,True,linear,,1000.0,601.4413227540001,400,../models/linear_001_1.pkl,linear_001,61,10,7,22
12,True,linear,,1000.0,650.857930187,400,../models/linear_001_2.pkl,linear_001,58,15,6,21
13,True,linear,,1000.0,788.3609705220001,400,../models/linear_001_3.pkl,linear_001,62,15,4,19
14,True,linear,,1000.0,668.6706121870002,400,../models/linear_001_4.pkl,linear_001,63,18,8,11
15,True,rbf,0.01,0.01,8.35107631000028,400,../models/rbf_001_001_0.pkl,rbf_001_001,41,24,19,16
16,True,rbf,0.01,0.01,8.603466951999508,400,../models/rbf_001_001_1.pkl,rbf_001_001,51,16,17,16
17,True,rbf,0.01,0.01,8.607226267999977,400,../models/rbf_001_001_2.pkl,rbf_001_001,46,24,18,12
18,True,rbf,0.01,0.01,7.681361036999988,400,../models/rbf_001_001_3.pkl,rbf_001_001,56,22,10,12
19,True,rbf,0.01,0.01,8.420773209999425,400,../models/rbf_001_001_4.pkl,rbf_001_001,52,22,19,7
20,True,rbf,0.01,1.0,8.459032290999858,400,../models/rbf_1_001_0.pkl,rbf_1_001,35,34,25,6
21,True,rbf,0.01,1.0,8.083693507000135,400,../models/rbf_1_001_1.pkl,rbf_1_001,42,23,26,9
22,True,rbf,0.01,1.0,7.847160682999856,400,../models/rbf_1_001_2.pkl,rbf_1_001,42,28,22,8
23,True,rbf,0.01,1.0,8.654864146000364,400,../models/rbf_1_001_3.pkl,rbf_1_001,47,27,19,7
24,True,rbf,0.01,1.0,8.881956353000533,400,../models/rbf_1_001_4.pkl,rbf_1_001,44,23,27,6
25,True,rbf,0.01,inf,9.761240936999457,400,../models/rbf_inf_001_0.pkl,rbf_inf_001,35,34,25,6
26,True,rbf,0.01,inf,10.009091208999962,400,../models/rbf_inf_001_1.pkl,rbf_inf_001,42,23,26,9
27,True,rbf,0.01,inf,7.223816296000223,400,../models/rbf_inf_001_2.pkl,rbf_inf_001,42,28,22,8
28,True,rbf,0.01,inf,7.169333742000163,400,../models/rbf_inf_001_3.pkl,rbf_inf_001,47,27,19,7
29,True,rbf,0.01,inf,9.45128747400031,400,../models/rbf_inf_001_4.pkl,rbf_inf_001,44,23,27,6
30,True,rbf,0.001,0.01,8.385840216999895,400,../models/rbf_001_0001_0.pkl,rbf_001_0001,41,24,19,16
31,True,rbf,0.001,0.01,8.23276752000038,400,../models/rbf_001_0001_1.pkl,rbf_001_0001,51,16,17,16
32,True,rbf,0.001,0.01,8.450900340999397,400,../models/rbf_001_0001_2.pkl,rbf_001_0001,46,24,18,12
33,True,rbf,0.001,0.01,8.448056244000327,400,../models/rbf_001_0001_3.pkl,rbf_001_0001,56,22,10,12
34,True,rbf,0.001,0.01,8.448901187000047,400,../models/rbf_001_0001_4.pkl,rbf_001_0001,52,22,19,7
35,True,rbf,1.0,inf,69.98333236899998,400,../models/rbf_inf_1_0.pkl,rbf_inf_1,38,28,22,12
36,True,rbf,1.0,inf,56.80264586599969,400,../models/rbf_inf_1_1.pkl,rbf_inf_1,44,24,24,8
37,True,rbf,1.0,inf,42.21165345999998,400,../models/rbf_inf_1_2.pkl,rbf_inf_1,42,28,22,8
38,True,rbf,1.0,inf,68.60106816000007,400,../models/rbf_inf_1_3.pkl,rbf_inf_1,48,27,18,7
39,True,rbf,1.0,inf,58.36572471999989,400,../models/rbf_inf_1_4.pkl,rbf_inf_1,46,23,25,6
